id,created_at,edit_history_tweet_ids,text,clean_text
1.5297490567712154e+18,2022-05-26 08:59:31+00:00,['1529749056771215361'],Land of plastic https://t.co/CopKUkqdv7,land plastic
1.529748937309139e+18,2022-05-26 08:59:02+00:00,['1529748937309138947'],Home grown / self built infrastructure - well for water for washing plastic https://t.co/ywrRaJa6b2,home grown self built infrastructure well water washing plastic
1.529740543219143e+18,2022-05-26 08:25:41+00:00,['1529740543219142656'],It’s possible to rent a much larger godown out in places like Mumbra and Vasai for the same money as small places in Dharavi. https://t.co/U18m4JkWlG,possible rent much larger godown place like mumbra vasai money small place dharavi
1.5297394295306977e+18,2022-05-26 08:21:15+00:00,['1529739429530697728'],The waste of the waste of the waste https://t.co/uocwYQ6S4C,waste waste waste
1.5297378741485814e+18,2022-05-26 08:15:05+00:00,['1529737874148581376'],The many afterlives of many different kinds of plastic https://t.co/kLRN8eGln5,many afterlives many different kind plastic
1.52973250773794e+18,2022-05-26 07:53:45+00:00,['1529732507737939969'],ABS waste from industrial injection moulding processes that will be sorted / cleaned / pelletised https://t.co/hlurmlqorK,waste industrial injection moulding process sorted cleaned pelletised
1.5297241212313682e+18,2022-05-26 07:20:26+00:00,['1529724121231368192'],@PrasadRajguru1 It is very hard to understand !,hard understand
1.5297236224782991e+18,2022-05-26 07:18:27+00:00,['1529723622478299136'],Today we are on a field visit looking at waste processing facilities outside the city - tracing the lines of supply and processing for the plastics that come in and out of Dharavi @compound13lab,today field visit looking waste processing facility outside city tracing line supply processing plastic come dharavi
1.5296925671426376e+18,2022-05-26 05:15:02+00:00,['1529692567142637568'],Impressed by the quality of the restoration work going on at Bandra https://t.co/Fny1JTNebi,impressed quality restoration work going bandra
1.5296829207298703e+18,2022-05-26 04:36:43+00:00,['1529682920729870338'],Restoration of the original Bandra station building is pretty impressive https://t.co/IerTLqDNiB,restoration original bandra station building pretty impressive
1.5296818321821778e+18,2022-05-26 04:32:23+00:00,['1529681832182177792'],Bandra station has become very organised! This is very confusing https://t.co/uf0isv9iB1,bandra station become organised confusing
1.5296740424745247e+18,2022-05-26 04:01:26+00:00,['1529674042474524672'],Mumbai morning https://t.co/zATM9Oef35,mumbai morning
1.5295168996622991e+18,2022-05-25 17:37:00+00:00,['1529516899662299136'],Good to be back in the Dharavi godowns after a long pandemic enforced break - lots of activity in progress @compound13lab https://t.co/1goSjc4rRU,good back dharavi godown long pandemic enforced break lot activity progress
1.5276680386648474e+18,2022-05-20 15:10:17+00:00,['1527668038664847361'],@fodeballertoure @fifisyms please get your party back from the lunatics asap! they are driving the UK into the ground!,please get party back lunatic asap driving ground
1.5268856119023124e+18,2022-05-18 11:21:12+00:00,['1526885611902312448'],Indeed! https://t.co/p3562uV9U5,indeed
1.525923924160172e+18,2022-05-15 19:39:48+00:00,['1525923924160172036'],@Life_Disrupted isn't that below minimum wage...? how do they get away with that?,minimum wage get away
1.525759758753583e+18,2022-05-15 08:47:28+00:00,['1525759758753583104'],@NJ_Timothy Maybe have a word with your mates in government? Your lot have been in power for 12 years,maybe word mate government lot power year
1.525449732218409e+18,2022-05-14 12:15:32+00:00,['1525449732218408961'],@donmoyn @elonmusk I am definitely a bot,definitely bot
1.5252253721739756e+18,2022-05-13 21:24:00+00:00,['1525225372173975552'],"@FDAGenSec @AnushkaAsthana Won’t they just attempt to privatise it more - get serco and/or capita, etc to run the passport office/ dvla / hmrc / highways, etc so their rich mates can get even richer?",wont attempt privatise get serco andor caput etc run passport office dvla hmrc highway etc rich mate get even richer
1.5242994720622674e+18,2022-05-11 08:04:48+00:00,['1524299472062267393'],What substances has he been imbibing/inhaling first thing this morning ? https://t.co/5zC22euszy,substance imbibinginhaling first thing morning
1.524207683255087e+18,2022-05-11 02:00:04+00:00,['1524207683255087105'],"@amiwrong82 .@RealMattLucas , obvs",obvs
1.524053053103559e+18,2022-05-10 15:45:38+00:00,['1524053053103558657'],@pritipatel @metpoliceuk @ukhomeoffice relentless reoffending...like the @10DowningStreet parties?,relentless reoffendinglike party
1.5237362927515976e+18,2022-05-09 18:46:56+00:00,['1523736292751597569'],@MattPotter @D_Blanchflower ditto!,ditto
1.5229320312771256e+18,2022-05-07 13:31:05+00:00,['1522932031277125633'],@simonharris_mbd Partly because all their voters have switched to Johnson’s Tories…,partly voter switched johnson tory
1.5228504426104586e+18,2022-05-07 08:06:53+00:00,['1522850442610458626'],@DanRebellato Scotland and wales,scotland wale
1.5228264549287035e+18,2022-05-07 06:31:34+00:00,['1522826454928703488'],"Cue  the muffled sound of bubbling brimstone, grinding teeth and bones as the corpse of Thatcher rotates increasingly rapidly in her grave https://t.co/VpO8hFQ1Dl",cue muffled sound bubbling brimstone grinding teeth bone corpse thatcher rotates increasingly rapidly grave
1.5228248980658831e+18,2022-05-07 06:25:23+00:00,['1522824898065883136'],@professor_dave @ZJAyres Really Elitist Fictions,really elitist fiction
1.522820896624423e+18,2022-05-07 06:09:29+00:00,['1522820896624422914'],@ewangibbs Yes I agree.  See also north Tyneside!  And Highlands. Obvs in Scotland the proportional system helps but in multi member constituencies even under FPTP you just have to reach a ‘tipping point’ of enough voters…,yes agree see also north tyneside highland obvs scotland proportional system help multi member constituency even fptp reach tipping point enough voter
1.52281780730146e+18,2022-05-07 05:57:12+00:00,['1522817807301459974'],"This seems like a fairly significant milestone.  swathes of metropolitan areas where greens outnumber tories on the council,  inroads also being made in more rural constituencies where greens are a viable alternative to tories. And Brighton/Bristol shows they can win against Lab https://t.co/kfZPUboDT3",seems like fairly significant milestone swathe metropolitan area green outnumber tory council inroad also made rural constituency green viable alternative tory brightonbristol show win lab
1.5228164517568348e+18,2022-05-07 05:51:49+00:00,['1522816451756834816'],Hilarious. How inconvenient https://t.co/ZsRx73BdzK,hilarious inconvenient
1.5228163025319444e+18,2022-05-07 05:51:13+00:00,['1522816302531944448'],"@timfarron Exactly. It’s a huge political miscalculation for Johnson’s supporters to push this so hard, highly likely to backfire. They have no tactics or strategy except stoke the culture wars/ keep that brexit flame alight at all costs!",exactly huge political miscalculation johnson supporter push hard highly likely backfire tactic strategy except stoke culture war keep brexit flame alight cost
1.522815353348313e+18,2022-05-07 05:47:27+00:00,['1522815353348313089'],"@Paul63B @NigelGarbage @lewis_goodall given turnout figures, prob lots of Tory abstentions, but clearly there is a very motivated opposition coalition. if the tories lose supporters in the south (many moderate centre/right voters comfortable voting tactically) hard right red wall holdouts become less relevant.",given turnout figure prob lot tory abstention clearly motivated opposition coalition tory lose supporter south many moderate centreright voter comfortable voting tactically hard right red wall holdout become relevant
1.522812257297703e+18,2022-05-07 05:35:09+00:00,['1522812257297702912'],"@bbclaurak Errrrrrr….I generally thought @bbcnews local election coverage, including your overnight contributions were good and perfectly fair ( @thehuwedwards did a great anchoring job) but this reads like an account of a different election. Tories lost 500 councillors!",errrrrrri generally thought local election coverage including overnight contribution good perfectly fair great anchoring job read like account different election tory lost councillor
1.5228110242143027e+18,2022-05-07 05:30:15+00:00,['1522811024214302723'],@lokiscottishrap Johnson is f*cked,johnson fcked
1.5226202200404378e+18,2022-05-06 16:52:04+00:00,['1522620220040437761'],@NadineDorries be careful what you wish for,careful wish
1.5226165942995968e+18,2022-05-06 16:37:39+00:00,['1522616594299596800'],@libdemlife congrats...great to see the tectonic plates shifting,congratsgreat see tectonic plate shifting
1.5225927237479424e+18,2022-05-06 15:02:48+00:00,['1522592723747942406'],"Absolute wipeout for the @conservatives in the remain voting, @ft reading affluent heartland of Woking… #WokingGoesWoke  Cc.  A sweaty @DominicRaab #BrexitHasFailed #BrexitReality #ToriesOut https://t.co/628fLrFEXx",absolute wipeout remain voting reading affluent heartland woking sweaty
1.5225808592278815e+18,2022-05-06 14:15:39+00:00,['1522580859227881472'],"@Samfr Yup and pushing  beergate really not such a clever move for Tories - if Starmer resigns if fined  (he’d have to, out of principle) it detonates a failsafe political bomb under Johnson.",yup pushing beergate really clever move tory starmer resigns fined hed principle detonates failsafe political bomb johnson
1.522577210921689e+18,2022-05-06 14:01:09+00:00,['1522577210921689088'],Plenty of blue on blue recriminations flying around north of the border - would be hilarious if the hapless Douglas Ross was forced to resign before Boris Johnson does #torymeltdown https://t.co/M6yaVOZoBW,plenty blue blue recrimination flying around north border would hilarious hapless douglas ross forced resign boris johnson doe
1.522572208215896e+18,2022-05-06 13:41:17+00:00,['1522572208215896067'],"OK to be fair, he may well have been up most of the night and is probably tired, but this really is an astonishingly poor set of answers even by @OliverDowden ‘s admittedly very low standards. If this kind of nonsense can’t be beaten 
at the next general election, I despair https://t.co/3LaDufiRwD",fair may well night probably tired really astonishingly poor set answer even admittedly low standard kind nonsense cant beaten next general election despair
1.522570872179077e+18,2022-05-06 13:35:58+00:00,['1522570872179077126'],OMG FFS GRRR https://t.co/aIiajxL7oC,omg ffs grrr
1.5225338069090468e+18,2022-05-06 11:08:41+00:00,['1522533806909046787'],This would be a tremendous gamble:a quick &amp; sneaky cash handout to households ahead of the autumn then a tub thumping flag waving culture wars rerun of all the brexit hits election. But I think the mood has shifted &amp; we’re back in hung parliament territory. It’s 1973 not 1982/3 https://t.co/BrkosyCyDN,would tremendous gamblea quick amp sneaky cash handout household ahead autumn tub thumping flag waving culture war rerun brexit hit election think mood shifted amp back hung parliament territory
1.5225301701036073e+18,2022-05-06 10:54:14+00:00,['1522530170103607302'],"@NORBET @ianfarquharson8 @skwawkbox Yup but only the most brexity of places, tory support is tanking amongst moderate centre right voters who happily switch to Lib Dems or ( in cities) Starmers Labour . Hard leave voters won’t get them over the line…but Lab won’t mention the ‘ b’ word for fear of red wall racists",yup brexity place tory support tanking amongst moderate centre right voter happily switch lib dems city starmers labour hard leave voter wont get linebut lab wont mention word fear red wall racist
1.5225275145890245e+18,2022-05-06 10:43:41+00:00,['1522527514589024256'],"@ewangibbs Not sure..PC a weird mix of left, right, centre at its founding/had a fairly militant phase then settled on a more left- green position.(green pol always a struggle betw. (neo)liberals &amp; (eco)socialists). Worth also considering rel. betw. liberalism and nationalism - compatible?",surepc weird mix left right centre foundinghad fairly militant phase settled left green positiongreen pol always struggle betw neoliberal amp ecosocialists worth also considering rel betw liberalism nationalism compatible
