id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.4553762230902252e+18,2021-11-02 03:28:25+00:00,['1455376223090225157'],@lutherxhughes thank you Luther!!,,thank luther
1.4553530892847718e+18,2021-11-02 01:56:30+00:00,['1455353089284771847'],#voicecomeback Samara https://t.co/G1oXrn0xOL,,samara
1.4550134464461128e+18,2021-11-01 03:26:53+00:00,['1455013446446112772'],@HOA_Bossman appreciate that brudda 🙏🏾,,appreciate brudda
1.4549954312436244e+18,2021-11-01 02:15:17+00:00,['1454995431243624448'],@sammie_scottie happy sammieween! 👻 🎊,,happy sammieween
1.454994588360495e+18,2021-11-01 02:11:57+00:00,['1454994588360495110'],@OdeBroham thank you brudda 🙏🏾,,thank brudda
1.454990613024215e+18,2021-11-01 01:56:09+00:00,['1454990613024215042'],see you space cowboy… https://t.co/CmRV4z4io8,,see space cowboy
1.453174621151404e+18,2021-10-27 01:40:03+00:00,['1453174621151404033'],He finna sing “Before I Let Go” at halftime https://t.co/HoU2zfaZl6,,finna sing let halftime
1.452757446057988e+18,2021-10-25 22:02:20+00:00,['1452757446057988112'],@MiniMcBooom the 15 minutes of shame joint?,,minute shame joint
1.4526717472836198e+18,2021-10-25 16:21:48+00:00,['1452671747283619841'],this third season of sex education feels full of tear jerkers https://t.co/1dkcqhz5Ir,,third season sex education feel full tear jerker
1.4498811310804705e+18,2021-10-17 23:32:53+00:00,['1449881131080470528'],@MiniMcBooom great choice!!,,great choice
1.449827201692668e+18,2021-10-17 19:58:36+00:00,['1449827201692667904'],Jody Watley a baddie of baddies https://t.co/2mR8CNlj2L,,jody watley baddie baddie
1.4495126300628337e+18,2021-10-16 23:08:36+00:00,['1449512630062833668'],@LookAtLollyy happy birthday Lolly 🎉,,happy birthday lolly
1.4462904270790124e+18,2021-10-08 01:44:43+00:00,['1446290427079012365'],@Copastetik wow wow wow,,wow wow wow
1.4462517811687096e+18,2021-10-07 23:11:09+00:00,['1446251781168709637'],@Dolnenzo ding dong ditch 😂 happy birthday brudda,,ding dong ditch happy birthday brudda
1.4451674218626007e+18,2021-10-04 23:22:17+00:00,['1445167421862600704'],@WannasWorld @sammie_scottie,,
1.445167321115472e+18,2021-10-04 23:21:53+00:00,['1445167321115471875'],@WannasWorld yes please. new community manager here looking to connect with more of these folks https://t.co/uNY00Hv00k,,yes please new community manager looking connect folk
1.4436127289423708e+18,2021-09-30 16:24:30+00:00,['1443612728942370819'],@IAMNJERA ok ok ok! now let’s reboot cita’s world with this too https://t.co/lQ2elZGAeP,,let reboot citas world
1.4428948648031928e+18,2021-09-28 16:51:58+00:00,['1442894864803192834'],@jellydear happy birthday jelly! 🎊,,happy birthday jelly
1.4426409051025613e+18,2021-09-28 00:02:49+00:00,['1442640905102561285'],@lifeofdeem did not know that was humanly possible,,know humanly possible
1.441573183996326e+18,2021-09-25 01:20:04+00:00,['1441573183996325891'],it’s amazing 🌻 https://t.co/Mol6gTqaTr,,amazing
1.4411742021244887e+18,2021-09-23 22:54:40+00:00,['1441174202124488704'],@_youngju8 it’s good fasho. there’s even parts that just when you think it could get annoyingly corny it’ll flip into feeling like a breath of fresh air,,good fasho even part think could get annoyingly corny itll flip feeling like breath fresh air
1.435416246900646e+18,2021-09-08 01:34:36+00:00,['1435416246900645898'],szn 2 just dropped i need y’all to get it together and join me https://t.co/1Zca0XnZez,,szn dropped need yall get together join
1.4354088212336271e+18,2021-09-08 01:05:06+00:00,['1435408821233627138'],@sloppybecky fr the body gotta move,,body gotta move
1.4354087451992474e+18,2021-09-08 01:04:48+00:00,['1435408745199247361'],@natelege_ i feel you. today was the day i stopped thinking hard about it and just went. less overwhelming than i anticipated 👌🏾,,feel today day stopped thinking hard went overwhelming anticipated
1.4354057310046208e+18,2021-09-08 00:52:49+00:00,['1435405731004620806'],who else is just taking a step back into the gym since lockdown?,,else taking step back gym since lockdown
1.435333815141126e+18,2021-09-07 20:07:03+00:00,['1435333815141126145'],@shes_rADIAnt stopped at episode 3 last night but finna power thru this first season to get to where gets good,,stopped episode last night finna power thru first season get get good
1.434214944208302e+18,2021-09-04 18:01:03+00:00,['1434214944208302083'],is greenlight not a top beyoncé song what’s going on 🤔,,greenlight top beyonc song whats going
1.433861909195985e+18,2021-09-03 18:38:13+00:00,['1433861909195984896'],would he not help shawty write the business plan?,,would help shawty write business plan
1.4328612088021156e+18,2021-09-01 00:21:48+00:00,['1432861208802115585'],@theprofessor aye @MouseSucks you giving the bidness in the suit,,aye giving bidness suit
1.4327828910382572e+18,2021-08-31 19:10:35+00:00,['1432782891038257162'],sahbabii https://t.co/vVIdKkzog2,,sahbabii
1.4327718884770857e+18,2021-08-31 18:26:52+00:00,['1432771888477085698'],@JHLotto train me bro 😂,,train bro
1.4316485591123763e+18,2021-08-28 16:03:09+00:00,['1431648559112376325'],@unrulynarrator i’m alive to reply to this so definitely not 😂,,alive reply definitely
1.4316344746730004e+18,2021-08-28 15:07:11+00:00,['1431634474673000448'],@jacqpfrancois big blessings for the bday 💫,,big blessing bday
1.4311071334378783e+18,2021-08-27 04:11:43+00:00,['1431107133437878275'],that hertz/don’t judge rentals is awful every time i hear it 😂,,hertzdont judge rental awful every time hear
1.4307076574978908e+18,2021-08-26 01:44:21+00:00,['1430707657497890818'],put a planes cap in the frame and keep this going bruh 😂 https://t.co/ZnDptfUFxx,,put plane cap frame keep going bruh
1.43070381148885e+18,2021-08-26 01:29:04+00:00,['1430703811488849926'],@timmhotep queen key on my list w/ these too,,queen key list
1.4303943248905708e+18,2021-08-25 04:59:17+00:00,['1430394324890570754'],"@dennisbunjaku all blessings my g, happy birthday 🤲🏾💫",,blessing happy birthday
1.4299658388079288e+18,2021-08-24 00:36:38+00:00,['1429965838807928832'],i’ll say eleven is oney-one before i ever say that 😂 https://t.co/KZxN1LI0sa,,ill say eleven oneyone ever say
1.4295033422423777e+18,2021-08-22 17:58:50+00:00,['1429503342242377741'],@LookAtLollyy you can do anything 💫,,anything
1.429248259193774e+18,2021-08-22 01:05:13+00:00,['1429248259193774082'],top to bottom this new @keyisqueen too 🔥 https://t.co/UzYbtR9hrZ,,top bottom new
1.4288413279119196e+18,2021-08-20 22:08:13+00:00,['1428841327911919630'],@YoungCorey @circulate hyped to rock the timeline tee 🖤,,hyped rock timeline tee
1.4288328730759086e+18,2021-08-20 21:34:38+00:00,['1428832873075908613'],@checktherhyme1 yessir https://t.co/Df7v4aNA5V,,yessir
