id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.242349386614653e+18,2020-03-24 07:15:50+00:00,['1242349386614652928'],"Verse of the day
Each of you should give what you have decided in your heart to give, not reluctantly or under compulsion, for God loves a cheerful giver.2 Corinthians 9:7… https://t.co/AGo8um3b4q",,verse day give decided heart give reluctantly compulsion god love cheerful giver corinthian,day heart compulsion god giver corinthian 
1.2419662176211313e+18,2020-03-23 05:53:15+00:00,['1241966217621131266'],"Verse of the day
Blessed are the pure in heart,  for they will see God.Matthew 5:8 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Matthew58 #NIV #2020 #2020vision #Bestisyettocome… https://t.co/oewRSGWEBv",,verse day blessed pure heart see god matthew niv,day heart matthew 
1.241828386424656e+18,2020-03-22 20:45:34+00:00,['1241828386424655880'],"Candle of Hope, National day of prayer, Praying for the coronavirus and people being effected.
#Stayathome protecttheNHS savelives #corona #zoom #love #communitylove #community… https://t.co/uqOrfVZmLS",,candle hope national day prayer praying coronavirus people effected protectthenhs savelives,day coronavirus 
1.2417435261168886e+18,2020-03-22 15:08:21+00:00,['1241743526116888576'],"Happy Mothers Day Mama!!! 😀
Diolch for always being there. 
You are Amazing,Wonderful and I'm so blessed that i have you mama !!!
I Love this photo of us.
And Love you very… https://t.co/Iq08Hc1Sli",,happy mother day mama diolch always amazingwonderful i'm blessed mama love photo love,mother day diolch mama love photo love 
1.2417364432880804e+18,2020-03-22 14:40:13+00:00,['1241736443288080384'],"With this Covid19 situation I've been stuck since Wednesday 
Quarantine Church life here we go foreseen future for now 
Enjoy the video everyone!!!!… https://t.co/FlXTmIDkE0",,covid situation i've stuck since wednesday quarantine church life foreseen future enjoy video everyone,situation i quarantine church life enjoy video everyone 
1.2416205681490534e+18,2020-03-22 06:59:46+00:00,['1241620568149053446'],"Verse of the day
The Lord will be king over the whole earth. On that day there will be one Lord , and his name the only name.Zechariah 14:9 NIV ✝️📖🙏😃#Verseoftheday #Verseencouragement… https://t.co/gL2LuSQrUE",,verse day lord king whole earth day one lord name name zechariah niv,day earth day lord name name niv 
1.24143443262985e+18,2020-03-21 18:40:08+00:00,['1241434432629850114'],@_SmartUK @stevefbest People really !!?? 🤦🏻‍♂️,,people really,
1.2412645524880753e+18,2020-03-21 07:25:05+00:00,['1241264552488075264'],"Verse of the Day
“I the Lord search the heart and examine the mind, to reward each person according to their conduct, according to what their deeds deserve.”
Jeremiah 17:10… https://t.co/KtBRWdeyyE",,verse day lord search heart examine mind reward person according conduct according deed deserve jeremiah,day heart examine mind reward person conduct deed deserve jeremiah 
1.241150679554687e+18,2020-03-20 23:52:36+00:00,['1241150679554686978'],I had a great and lovely evening to connect with the community on zoom. Really enjoyed it!!! #love #lovelife #Act4 #churchlife #Community #Connect #Zoom #2020 #2020vision #bestisyettocome… https://t.co/tuVxKriI2a,,great lovely evening connect community zoom really enjoyed,community zoom 
1.2409359645891215e+18,2020-03-20 09:39:24+00:00,['1240935964589121536'],"Verse of the Day
Create in me a pure heart, O God, and renew a steadfast spirit within me.
Psalms 51:10 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Psalms5110  #NIV #2020 #2020vision… https://t.co/kSKKD1bzRe",,verse day create pure heart god renew steadfast spirit within psalm niv,day heart god spirit psalm niv 
1.240637045371961e+18,2020-03-19 13:51:36+00:00,['1240637045371961346'],"Checking the tent still works 
#2020 #2020vision #timelaps #bestisyettocome #Godisgood #GoodnessofGod #MingCooper2020 https://t.co/HAQRiZ5aYz",,checking tent still work,tent 
