id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.1042832363630632e+18,2019-03-09 07:30:14+00:00,['1104283236363063296'],"There's pathetic, there's irresponsible, there's stupid, there's cowardly..... and then there's this cross breed of  donkey &amp; monkey. #MaburroFuera #VenezuelaLibre #Dictadura #CeseDeUsurpación 🇻🇪🇻🇪🇻🇪🇻🇪 https://t.co/OofgmViyxz",there's pathetic there's irresponsible there's stupid there's cowardly there's cross breed donkey amp monkey,cross breed donkey amp monkey 
1.1041331618464892e+18,2019-03-08 21:33:54+00:00,['1104133161846489090'],Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile #London @ Praxis Community Projects https://t.co/VYYN3EchSE,dia internacional mujer trabajadora praxis community project,mujer trabajadora praxis community project 
1.1041221017562358e+18,2019-03-08 20:49:57+00:00,['1104122101756235778'],Dia Internacional de la mujer trabajadora #VivalamujerUK #womenshistorymonth #Chile #London @ Praxis Community Projects https://t.co/Djbhu3KeC5,dia internacional mujer trabajadora praxis community project,mujer trabajadora praxis community project 
1.1041098026351247e+18,2019-03-08 20:01:04+00:00,['1104109802635124739'],"The wheel sisters ""Las hermanitas Rueda"" Nased in London they are an mazing talent from the musical city of Ibague, Colombia.#Vivalamujer #womenshistorymonth #VivalamujerUK @ London,… https://t.co/e8n62pmiCt",wheel sister hermanitas rueda nased london mazing talent musical city ibague colombia london,wheel sister london city ibague colombia london 
1.1040896579172148e+18,2019-03-08 18:41:02+00:00,['1104089657917214720'],22 Badass Latin American Women Who Made History https://t.co/wr4BplRoKy,badass latin american woman made history,badass woman history 
1.1040802112792576e+18,2019-03-08 18:03:29+00:00,['1104080211279257600'],"Colegio español enseña a estudiantes a cocinar, limpiar y planchar | Nation https://t.co/2agFD8svIj",colegio espaol ensea estudiantes cocinar limpiar planchar nation,colegio espaol ensea planchar nation 
1.104075112721068e+18,2019-03-08 17:43:14+00:00,['1104075112721068033'],Rugby in Brazil is booming and their potential is enormous https://t.co/iTZJdccBOl,rugby brazil booming potential enormous,rugby brazil 
1.104072023532286e+18,2019-03-08 17:30:57+00:00,['1104072023532285954'],Venezuela blackout: Power outage across the country - BBC News https://t.co/t8JP0dEvvW,venezuela blackout power outage across country bbc news,venezuela blackout power outage country bbc news 
1.1040691709441966e+18,2019-03-08 17:19:37+00:00,['1104069170944196608'],El gran apagón de Venezuela: ya son 18 horas sin electricidad y casi incomunicados https://t.co/ZyL6njPD2W,gran apagn venezuela son horas sin electricidad casi incomunicados,gran apagn son casi incomunicados 
1.104062618770305e+18,2019-03-08 16:53:35+00:00,['1104062618770305024'],Venezuela power outage leaves most of the country in darkness https://t.co/xM5GfCyDLc,venezuela power outage leaf country darkness,power outage country darkness 
1.1040490246576988e+18,2019-03-08 15:59:34+00:00,['1104049024657698817'],Luis Suárez Takes Us To His Hometown in Uruguay https://t.co/ZCrsydBKax,luis surez take hometown uruguay,uruguay 
