id,created_at,edit_history_tweet_ids,text,clean_text
1.464255872276783e+18,2021-11-26 15:32:59+00:00,['1464255872276783109'],"Exciting opportunity on offer from @YFenniBorough to lead a year of work with young people in Abergavenny on The Future Is Us project! Details on their website.
https://t.co/xYtpjI1GhZ",exciting opportunity offer lead year work young people abergavenny future project detail website
1.4642543444512154e+18,2021-11-26 15:26:54+00:00,['1464254344451215369'],Please spread the word about our Song Creators workshops 👇🏻@PaulMorriswales @llanwern_music @LliswerryMusic @NHSmusicteam @Bassaleg_Music @caerleondrama @MusicJFS https://t.co/aa78khbv2Z,please spread word song creator workshop
1.4642122188164833e+18,2021-11-26 12:39:31+00:00,['1464212218816483331'],@foxxgloveuk Can't wait to work with you on this @foxxgloveuk 👍🏻,can't wait work
1.4641995196425216e+18,2021-11-26 11:49:03+00:00,['1464199519642521600'],Calling all budding songwriters aged 14 - 25! Our online #OSSongCreators workshops with the awesome @foxxgloveuk starts on 4th December https://t.co/nXWbvQuGui Find out more about how she writes amazing tunes like City 👇🏻 https://t.co/8j0Z0LEWdF,calling budding songwriter aged online workshop awesome start december find writes amazing tune like city
1.4641979001503908e+18,2021-11-26 11:42:37+00:00,['1464197900150390784'],Really excited to working with @livemusicnowcym on their #Lullaby project in Swansea @Helenwoodsmusic @carnegiehall  https://t.co/6ZQgeFzv03,really excited working project swansea
1.464187613510779e+18,2021-11-26 11:01:45+00:00,['1464187613510778881'],Music students working with @PaulMorriswales  @coleggwent smashing it this morning💥🥁🎸🎤 https://t.co/Y1SGC1xM5u,music student working smashing morning
1.4641867060983767e+18,2021-11-26 10:58:08+00:00,['1464186706098376709'],YES it's @AOTH_NP20 weekend!! Thanks to @southwalesargus for this very useful guide to what's on this year! @ArgusLPowell 👍🏻 https://t.co/oCGN93omkW,yes weekend thanks useful guide what's year
1.4641863829566095e+18,2021-11-26 10:56:51+00:00,['1464186382956609553'],Love this 👇🏻 https://t.co/HmaYhp380h,love
1.4629069268203766e+18,2021-11-22 22:12:45+00:00,['1462906926820376577'],Can't wait for @AOTH_NP20 this weekend! Find out more about what's in store here 👇🏻thanks @EntsSouthWales for spreading the word👍🏻 https://t.co/RwKiwHsRq8,can't wait weekend find what's store thanks spreading word
1.462425188478374e+18,2021-11-21 14:18:30+00:00,['1462425188478373890'],"FREE SONGWRITING WORKSHOPS
Hosted by the wonderful @foxxgloveuk 
Explore writing a song, plus get feedback on your music. Sessions will take place this December and January focusing on lyrics, storytelling &amp; melody

#newport #music #workshop #songwriter 

https://t.co/5hOGvuB5D2 https://t.co/vdvyLI0Ww6",free songwriting workshop hosted wonderful explore writing song plus get feedback music session take place december january focusing lyric storytelling amp melody
1.4619748992248955e+18,2021-11-20 08:29:12+00:00,['1461974899224895497'],Loving this social impact report from @HijinxTheatre - awesome work!!! 👏🏻👏🏻👏🏻 https://t.co/4teKXu7yer,loving social impact report awesome work
1.4616244560870154e+18,2021-11-19 09:16:40+00:00,['1461624456087015428'],Some exciting news coming up this weekend about our next #OSSongCreators - here's a little clue as to who will be leading our next online songwriting workshops 😉  https://t.co/86jpModuSE,exciting news coming weekend next here's little clue leading next online songwriting workshop
1.4616106176310886e+18,2021-11-19 08:21:41+00:00,['1461610617631088648'],This looks fab 👇🏻@katieloumusic https://t.co/FK1ajsV9VS,look fab
1.4609429501716562e+18,2021-11-17 12:08:36+00:00,['1460942950171656194'],Happy 75th Birthday National Youth Orchestra of Wales ❤️@nyaw_ccic #NYOW75 https://t.co/w3v4ebUwim,happy birthday national youth orchestra wale
1.4602246768362988e+18,2021-11-15 12:34:27+00:00,['1460224676836298756'],Sad to hear this 😢 13 deaths too many... https://t.co/BJUucCtTXT,sad hear death many
1.4602231009818132e+18,2021-11-15 12:28:11+00:00,['1460223100981813251'],@gloamingroaming @rhchhutch @hannahnoone1 @stephendeazley @9sandeep6 @SerenVickers @MimiDoulton @Riv_Tech @RiverfrontArts Fabulous to have you in the audience @gloamingroaming - it was a shock outcome but King Saddiq was very happy!!,fabulous audience shock outcome king saddiq happy
1.4595666582767084e+18,2021-11-13 16:59:43+00:00,['1459566658276708355'],@cobramusicwales @theatre_reality @StWoolosPrimary @newportchoir @DaPentalkLab @_JafarIqbal_ @AngharadLee @JenAngharad @MirBallin @the_blank_face @MaindeeLibrary @NewportFIS @jane_mudd Thanks @cobramusicwales ❤️,thanks
1.459545866734383e+18,2021-11-13 15:37:06+00:00,['1459545866734383104'],Final show of NIGHTMARE SCENARIO at 6.30pm tonight! Don't miss it 👇 @cobramusicwales @theatre_reality @StWoolosPrimary @newportchoir @DaPentalkLab @_JafarIqbal_ @AngharadLee @JenAngharad @MirBallin @the_blank_face @MaindeeLibrary @NewportFIS @jane_mudd https://t.co/2jsZ1qnu5h,final show nightmare scenario tonight miss
1.4592118946868183e+18,2021-11-12 17:30:01+00:00,['1459211894686818304'],King Saddiq is fighting a war. He's lost so much but will he lose his country too? NIGHTMARE SCENARIO @RiverfrontArts tonight 6.30pm / tomorrow 1.30pm &amp; 6.30pm. A immersive musical mystery for the whole family! https://t.co/MxgSerzfGF https://t.co/4hLTfX9ApM,king saddiq fighting war he's lost much lose country nightmare scenario tonight tomorrow amp immersive musical mystery whole family
1.4591892503987118e+18,2021-11-12 16:00:02+00:00,['1459189250398711810'],Benita is a young girl who just wants to know where she comes from. Follow her journey of self discovery in NIGHTMARE SCENARIO @RiverfrontArts tonight 6.30pm / tomorrow 1.30pm &amp; 6.30pm. A immersive musical mystery for the whole family! https://t.co/MxgSerzfGF https://t.co/QhEqhL7UNl,benita young girl want know come follow journey self discovery nightmare scenario tonight tomorrow amp immersive musical mystery whole family
