,Topic,Count,Name,details
57,56,287,56_thanks_sup_gee_awe,"[('thanks', 0.22387435419247723), ('sup', 0.017397233790470677), ('gee', 0.016180855307066398), ('awe', 0.010643102027974072), ('discus', 0.00332686873374673), ('happy', 0.0010172944630171487), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
58,57,282,57_chat_prechat_transcript_chatting,"[('chat', 0.07657748641807412), ('prechat', 0.03611301843681412), ('transcript', 0.027679509014385806), ('chatting', 0.019233308514932334), ('tonights', 0.01752884894818461), ('tonight', 0.017456963137133057), ('minute', 0.011583600308038318), ('tuesday', 0.01058355555295066), ('check', 0.009669051768665407), ('holistic', 0.007853480553172542)]"
59,58,281,58_condolence_loss_family_sorry,"[('condolence', 0.06150257886482566), ('loss', 0.03329712584091061), ('family', 0.02672503201069012), ('sorry', 0.018273845861473), ('sad', 0.0156325193945118), ('sincere', 0.013745570341348084), ('rip', 0.01100345025214733), ('heartfelt', 0.010490836319551096), ('deepest', 0.008427364896057263), ('died', 0.007935871430146213)]"
60,59,274,59_meeting_meet_event_forward,"[('meeting', 0.04785528574743799), ('meet', 0.03535887373055423), ('event', 0.02791235444717742), ('forward', 0.016160428442403414), ('met', 0.01098553793378051), ('occasion', 0.00801431367499316), ('looking', 0.007669582589235596), ('facetoface', 0.007341759203795849), ('face', 0.006642249143220705), ('inviting', 0.005024333677395482)]"
61,60,273,60_medication_drug_prescription_pharmacology,"[('medication', 0.0400355367142993), ('drug', 0.030419877281756158), ('prescription', 0.02255617009714335), ('pharmacology', 0.020447097123224567), ('pharmacy', 0.02027858443086515), ('error', 0.01995132018889121), ('indication', 0.016107064245443566), ('approval', 0.013585087734410757), ('labeling', 0.01239463831811138), ('pill', 0.011185374136977894)]"
62,61,272,61_beautiful_txoperating_abilene_room,"[('beautiful', 0.43560037370443383), ('txoperating', 0.2293350022873909), ('abilene', 0.1549415135878701), ('room', 0.05493674581716614), ('subli', 0.021614399564155746), ('bein', 0.019477860975810907), ('vinyl', 0.012273338044955917), ('measurement', 0.011299091364418304), ('tshirt', 0.010568983600731087), ('alright', 0.008267964699960715)]"
63,62,266,62_team_comms_supportive_effort,"[('team', 0.039364721683043634), ('comms', 0.013068564900707286), ('supportive', 0.010297570526754294), ('effort', 0.007788897055824018), ('amazing', 0.0074902392530097565), ('teamwork', 0.006995845047420808), ('grateful', 0.006821767392806917), ('awesome', 0.006348038960618758), ('fantastic', 0.006289706729953739), ('chemistry', 0.006087361505947243)]"
64,63,261,63_suicide_suicidal_prevention_harm,"[('suicide', 0.08294057027298427), ('suicidal', 0.02989677880464416), ('prevention', 0.025641890870353238), ('harm', 0.024849872572497173), ('self', 0.0191710419935063), ('selfharm', 0.017283897963256346), ('ideation', 0.01395428756178908), ('attempt', 0.008309930446034565), ('risk', 0.006469906514438443), ('harming', 0.006065775552626638)]"
65,64,259,64_dress_outfit_dressing_suit,"[('dress', 0.07432303795113876), ('outfit', 0.05523935213078369), ('dressing', 0.03186653898610876), ('suit', 0.03149469462184085), ('wear', 0.030886084185088408), ('gown', 0.027341350243594513), ('dressed', 0.02333572149348013), ('clothes', 0.023096689609890312), ('fashion', 0.017323930241679598), ('wearing', 0.014185580212728305)]"
66,65,256,65_student_career_degree_apprenticeship,"[('student', 0.01274795596774988), ('career', 0.011517710047235287), ('degree', 0.010198103638362262), ('apprenticeship', 0.007577687195638963), ('nursing', 0.0073507043746090725), ('skill', 0.007202682715252596), ('stepbystep', 0.00680945692757592), ('journey', 0.00540175482977677), ('soft', 0.005090697864808382), ('school', 0.004962877335537012)]"
67,66,253,66_year_leap_itll_haunt,"[('year', 0.03713263956768496), ('leap', 0.010439430421559192), ('itll', 0.008539986312450901), ('haunt', 0.0069596202810394605), ('favorite', 0.006692826970716705), ('years', 0.006509645533290979), ('nearly', 0.00642219212970228), ('shaped', 0.005988494852966431), ('pradaaaaa', 0.005980414567708336), ('yearend', 0.005980414567708336)]"
68,67,247,67_covid_recovering_indian_misinformation,"[('covid', 0.03208605657758983), ('recovering', 0.006988999709780317), ('indian', 0.006838236874595704), ('misinformation', 0.006695939304793044), ('rule', 0.005901004311998129), ('skeptic', 0.0057371053171348775), ('vox', 0.005168550314473677), ('zealand', 0.005092207465060081), ('browsing', 0.00491382061252783), ('isolating', 0.004829948359523561)]"
69,68,240,68_petition_signed_sign_calling,"[('petition', 0.11531239348832253), ('signed', 0.04379397681233164), ('sign', 0.032401059193700635), ('calling', 0.015786872599506795), ('via', 0.015671281976510732), ('add', 0.014956447652505516), ('name', 0.014790772429669427), ('signature', 0.012107453986548451), ('parliament', 0.00975521940253626), ('resignation', 0.009476911933549648)]"
70,69,240,69_morning_del_good_sweetie,"[('morning', 0.047486498064407696), ('del', 0.016290452304357876), ('good', 0.01412655340985093), ('sweetie', 0.013906692043708124), ('hump', 0.01349177333626453), ('hope', 0.012514064728678173), ('terrific', 0.011092917944629138), ('wonderful', 0.009807920307032694), ('sir', 0.009600419423675437), ('wednesday', 0.008930224824511734)]"
71,70,227,70_wordle_flippin_thy_eck,"[('wordle', 0.8259341317612852), ('flippin', 0.029344619624718602), ('thy', 0.028184111302365228), ('eck', 0.02723676837975874), ('nooooooooooooooooooo', 0.018284766210930708), ('leathernjerkin', 0.018284766210930708), ('crystalbutton', 0.018284766210930708), ('nerdle', 0.018284766210930708), ('overred', 0.018284766210930708), ('palaver', 0.018284766210930708)]"
72,71,219,71_joining_join_discus_merrier,"[('joining', 0.0738297163312332), ('join', 0.04511136722401466), ('discus', 0.02146831555641633), ('merrier', 0.020823515907196628), ('gang', 0.019175315304460896), ('joined', 0.016535159285521718), ('welcome', 0.011671167595333189), ('breakout', 0.010691858570278705), ('rejoined', 0.01016491507913624), ('tonight', 0.00932950058906561)]"
73,72,218,72_hey_follow_thanks_msn,"[('hey', 0.1917777857012404), ('follow', 0.1475752994691661), ('thanks', 0.046568087944792017), ('msn', 0.024961417027343672), ('alina', 0.021675967823080473), ('huiwen', 0.021675967823080473), ('sato', 0.021675967823080473), ('anusha', 0.01708660472819118), ('verghese', 0.01708660472819118), ('fauteux', 0.012171315248144136)]"
74,73,218,73_film_movie_scene_cinema,"[('film', 0.09222577913390977), ('movie', 0.05569515014424694), ('scene', 0.036205147956510815), ('cinema', 0.03212053184157701), ('maverick', 0.012280400322685184), ('comedy', 0.012185663466342922), ('trailer', 0.011423413513089868), ('blockbuster', 0.00948909850465215), ('watched', 0.00877663426680416), ('shawshank', 0.0076541260838844565)]"
75,74,217,74_scary_fear_scared_terrifying,"[('scary', 0.10531579668824946), ('fear', 0.061112699688250484), ('scared', 0.04889577322878188), ('terrifying', 0.03161393796156142), ('creepy', 0.02725977769031016), ('spooky', 0.025676877036802995), ('afraid', 0.023890106441252702), ('terrified', 0.02222657576144681), ('frightening', 0.01984040961249503), ('scare', 0.012325398697723056)]"
76,75,212,75_ubc_amp_interpretermediated_patientpractitioner,"[('ubc', 0.009541655930669496), ('amp', 0.009509166800973972), ('interpretermediated', 0.005921490682964817), ('patientpractitioner', 0.005921490682964817), ('nonemergency', 0.005194907682854375), ('ampinterventions', 0.00466775793022504), ('participate', 0.004420305425120294), ('critical', 0.0043511816262519435), ('overused', 0.003803809765519765), ('aspiring', 0.0035547586602282717)]"
