,Topic,Count,Name,details
41,40,206,40_petition_sign petition_petition petition_sign petition petition,"[('petition', 0.060411942098763466), ('sign petition', 0.042165683051402454), ('petition petition', 0.02001341403136054), ('sign petition petition', 0.016170872467022333), ('name petition', 0.015522522326552896), ('sign', 0.013319781534045371), ('petition government', 0.010441781233753325), ('add name petition', 0.009665223389294356), ('signature', 0.009374124025540215), ('add name', 0.009130895486207586)]"
42,41,204,41_today today today_today today_today_man today today,"[('today today today', 0.4101049251423653), ('today today', 0.37569734179017444), ('today', 0.031774821328953345), ('man today today', 0.017549386680215915), ('today today man', 0.017549386680215915), ('man today', 0.014846326797322238), ('today man', 0.013465551662577947), ('today phew today', 0.009799593481783348), ('today def today', 0.009799593481783348), ('today eiii', 0.009799593481783348)]"
43,42,201,42_dementia_dementia care_alzheimer disease_alzheimer,"[('dementia', 0.06327336401498561), ('dementia care', 0.02078339023767821), ('alzheimer disease', 0.020294033874080845), ('alzheimer', 0.019156044054716742), ('journal alzheimer disease', 0.01754418520540761), ('journal alzheimer', 0.01754418520540761), ('amp dementia', 0.014984019441919776), ('alzheimer disease amp', 0.013850628906768407), ('disease amp dementia', 0.013150134619836556), ('disease amp', 0.012233723144522578)]"
44,43,196,43_idea idea_idea idea idea_idea_idea terrific,"[('idea idea', 0.33532282570125055), ('idea idea idea', 0.3004166671127629), ('idea', 0.1253621822996837), ('idea terrific', 0.027041057480089555), ('idea terrific idea', 0.027041057480089555), ('terrific idea', 0.025894756041841115), ('fab idea idea', 0.02139066158645879), ('need idea', 0.019421067031380836), ('fab idea', 0.018719558847039068), ('terrific', 0.0157671153896697)]"
45,44,195,44_tory_tory tory_tory party_party tory,"[('tory', 0.06685075520978087), ('tory tory', 0.03315980708679822), ('tory party', 0.017753120868790172), ('party tory', 0.011190862707357573), ('tory dont', 0.010605048015633847), ('tory tory tory', 0.010305269129523939), ('tory win', 0.00757465652924604), ('country tory', 0.007070032010422565), ('party', 0.006554074264953678), ('backbone', 0.00647678512845716)]"
46,45,194,45_way way way_way way_way_way way haha,"[('way way way', 0.45064847354463183), ('way way', 0.44200088857402764), ('way', 0.06618209728200641), ('way way haha', 0.01871380096231555), ('way haha way', 0.01871380096231555), ('way haha', 0.01871380096231555), ('haha way way', 0.01871380096231555), ('haha way', 0.016532210497305935), ('way course way', 0.010449803475835325), ('way atm', 0.010449803475835325)]"
47,46,192,46_care home_home care_home care home_care home care,"[('care home', 0.02600427570715396), ('home care', 0.016725365349382407), ('home care home', 0.013031420138905653), ('care home care', 0.012847309134177958), ('home', 0.01127881867405245), ('control care home', 0.011045038713294967), ('resident', 0.009047112814610583), ('home healthcare', 0.008855778133225285), ('control care', 0.008855778133225285), ('care home year', 0.008643976711889989)]"
48,47,191,47_support support_support support support_support_support way support,"[('support support', 0.09850960453047768), ('support support support', 0.07086293950554941), ('support', 0.019115805208265235), ('support way support', 0.013138592899930518), ('way support', 0.013058520298145757), ('lot support', 0.013008338366759097), ('support group', 0.012370154589842761), ('let support', 0.01141148445981182), ('support way', 0.009275904105461596), ('thing support', 0.009095378874832543)]"
49,48,189,48_weekend weekend_weekend_weekend weekend weekend_folk weekend,"[('weekend weekend', 0.10962491039142445), ('weekend', 0.07981464648862946), ('weekend weekend weekend', 0.05950546336770016), ('folk weekend', 0.014534568395548135), ('weekend look', 0.013415683840378001), ('weekend lol', 0.0114974806027216), ('weekend everyone weekend', 0.0114974806027216), ('everyone weekend', 0.0104388235293672), ('weekend folk', 0.009743387864363597), ('weekend everyone', 0.00922534956389945)]"
50,49,186,49_coronavirus_coronavirus case_york time_case coronavirus,"[('coronavirus', 0.08510586320625033), ('coronavirus case', 0.022470095445852382), ('york time', 0.012834436752381963), ('case coronavirus', 0.011379139111665515), ('coronavirus coronavirus', 0.011379139111665515), ('florida', 0.010110796463032982), ('florida coronavirus', 0.009753547809999014), ('york', 0.007980262653989004), ('cnbc', 0.007898198967883312), ('coronavirus covid', 0.007695807769676289)]"
51,50,185,50_infection_infection control_infection prevention_control,"[('infection', 0.03730693514071924), ('infection control', 0.026204239219082152), ('infection prevention', 0.021888537012127014), ('control', 0.016812445399747397), ('infection prevention control', 0.015004389823656117), ('prevention control', 0.014567692760935514), ('infection rate', 0.011587094120746952), ('action count', 0.011587094120746952), ('infection infection', 0.011268234376425908), ('prevention', 0.010872306179250264)]"
52,51,184,51_dress_outfit_fashion_skirt,"[('dress', 0.07152237771279803), ('outfit', 0.03831466910285576), ('fashion', 0.028610650360870727), ('skirt', 0.016591181915984923), ('wardrobe', 0.015480829566114716), ('dress dress', 0.015114396687101425), ('gown', 0.014747717258653264), ('costume', 0.011938551094183084), ('love dress', 0.009253250773954303), ('wear', 0.008207359130816482)]"
53,52,182,52_laiic_aux_sondage_vos,"[('laiic', 0.01655594693444705), ('aux', 0.014510589374797161), ('sondage', 0.014265787678521586), ('vos', 0.013331537543562484), ('partis', 0.012269843637281296), ('voix', 0.010304347467430988), ('visiter', 0.009216004582529767), ('pour', 0.00877714580642208), ('gnrale', 0.008564334831164545), ('loccasion', 0.008564334831164545)]"
54,53,181,53_door_door door_neighbour_door neighbour,"[('door', 0.07315835663016694), ('door door', 0.021386337176873813), ('neighbour', 0.01699233723970734), ('door neighbour', 0.012457299552610991), ('neighbour door', 0.00953317217293808), ('time door', 0.009188824548204109), ('door time', 0.009188824548204109), ('door day', 0.0062999893713543), ('door carver', 0.0062999893713543), ('lock door', 0.0062999893713543)]"
55,54,176,54_enjoy enjoy_enjoy enjoy enjoy_enjoy_enjoy thank,"[('enjoy enjoy', 0.40349577003064485), ('enjoy enjoy enjoy', 0.3691885192604235), ('enjoy', 0.2021948246257285), ('enjoy thank', 0.04978461002009452), ('enjoy enjoy thank', 0.03275395694771411), ('enjoy thank enjoy', 0.03275395694771411), ('thank enjoy', 0.02844834858291116), ('thank enjoy enjoy', 0.0259098154427529), ('wow enjoy', 0.01853808452135484), ('wow enjoy enjoy', 0.01853808452135484)]"
56,55,170,55_head head_head_head head head_skull,"[('head head', 0.07370194518284014), ('head', 0.06812611610061894), ('head head head', 0.019280024680782753), ('skull', 0.014731097108023073), ('bonnet', 0.0137872807839303), ('headspace', 0.013283248329276019), ('skullduggery', 0.012446643180025354), ('space head', 0.011015550278056622), ('parapet', 0.010444001242310036), ('bit head', 0.010444001242310036)]"
57,56,169,56_week week_week_day week_week burst,"[('week week', 0.03731012661280225), ('week', 0.02045135316692627), ('day week', 0.017056728735330262), ('week burst', 0.014806841885627232), ('start week', 0.014514224953031712), ('week week week', 0.01179664418387155), ('week day', 0.01148450579595247), ('get week', 0.011237391287323966), ('week day week', 0.01105632665459699), ('burst', 0.010768745745486244)]"
58,57,169,57_bird_pigeon_feeder_bird bird,"[('bird', 0.07392148013242528), ('pigeon', 0.02531922790956083), ('feeder', 0.02401365131385928), ('bird bird', 0.017976323913417063), ('feather', 0.014955188466033192), ('bird feeder', 0.013070760981153126), ('seagull', 0.010892300817627603), ('owl', 0.009540248316150569), ('morning bird', 0.009440585696702442), ('bird morning', 0.009440585696702442)]"
59,58,168,58_sound_sound plan_sound idea_sound something,"[('sound', 0.05732910594395787), ('sound plan', 0.016815869240733982), ('sound idea', 0.016040470647893365), ('sound something', 0.015454066561317354), ('work sound', 0.01319194103373021), ('sound job', 0.012120549816391523), ('doe sound', 0.011682743547498984), ('sound plan sound', 0.010125678998349933), ('idea sound', 0.010125678998349933), ('sound thing', 0.009346194837999186)]"
60,59,168,59_sorry sorry_sorry sorry sorry_sorry_boy sorry sorry,"[('sorry sorry', 0.4438236420433903), ('sorry sorry sorry', 0.41084257297848836), ('sorry', 0.20239914762781538), ('boy sorry sorry', 0.028301490714391628), ('sorry sorry boy', 0.028301490714391628), ('sorry boy sorry', 0.028301490714391628), ('boy sorry', 0.026833049345627327), ('sorry boy', 0.026833049345627327), ('sorry sorry thought', 0.02024929232332606), ('thank sorry sorry', 0.02024929232332606)]"
61,60,167,60_bit_bit bit_bit time_love bit,"[('bit', 0.04462339198235294), ('bit bit', 0.020771178284674816), ('bit time', 0.015566004223985136), ('love bit', 0.013689473306508163), ('bit time bit', 0.011864953792284192), ('time bit', 0.010778722255188293), ('game bit', 0.009385698451201305), ('bit section', 0.009385698451201305), ('bit game', 0.009385698451201305), ('look bit', 0.009054295799955491)]"
62,61,167,61_travel nurse_travel_travel nursing_nurse travel,"[('travel nurse', 0.07841778983506958), ('travel', 0.06922764611309952), ('travel nursing', 0.060864439997010654), ('nurse travel', 0.035051090544417574), ('travel nurse travel', 0.033098488285854176), ('nurse travel nurse', 0.024002971101885033), ('travel nursing assignment', 0.014867294833906307), ('nursing assignment', 0.014447032608011081), ('nursing travel', 0.014447032608011081), ('travel nursing travel', 0.01274339557191969)]"
63,62,166,62_gps_gps gps_gps patient_claim gps,"[('gps', 0.0752111594836354), ('gps gps', 0.019825691147956386), ('gps patient', 0.013639120505149085), ('claim gps', 0.010887188844230115), ('number gps', 0.009917137951819466), ('gps crisis', 0.008573982364983326), ('guidance gps', 0.008264281626516221), ('gps england', 0.008264281626516221), ('gps practice', 0.007577289169527269), ('gps hour', 0.007162826314027828)]"
64,63,164,63_thing year_year wow_year anything_year get,"[('thing year', 0.018628117790540827), ('year wow', 0.014246743901286371), ('year anything', 0.013795947418567924), ('year get', 0.01346100251904577), ('anything year', 0.012755553558274273), ('year thing', 0.01249488245064951), ('year thing year', 0.012347951911262131), ('year something year', 0.012347951911262131), ('something year', 0.012272697837726367), ('year', 0.01196300013990382)]"
65,64,161,64_party_party party_party party party_party gathering,"[('party', 0.0669767261147346), ('party party', 0.06122045122077422), ('party party party', 0.01917854904760497), ('party gathering', 0.01467672903953209), ('isnt party', 0.01131727283546826), ('gathering', 0.011007558949928248), ('party member', 0.010376491600871087), ('time party', 0.010132706868787297), ('party time', 0.00971167335360152), ('party party wont', 0.009699104902120153)]"
66,65,158,65_need need_need need need_need_need today need,"[('need need', 0.4111073621126559), ('need need need', 0.3785983829263868), ('need', 0.06794624937952375), ('need today need', 0.03691318957599526), ('today need need', 0.03691318957599526), ('need need today', 0.03691318957599526), ('need today', 0.029842300552953525), ('today need', 0.025373260896064675), ('need dont need', 0.020892127000257044), ('need please need', 0.020892127000257044)]"
67,66,157,66_conference_conference conference_day conference_today conference,"[('conference', 0.05638254493595182), ('conference conference', 0.022297370198086267), ('day conference', 0.01866634107161475), ('today conference', 0.013002117093550194), ('delegate', 0.01257113480226173), ('conference year', 0.01200627626050799), ('conference thank', 0.01076167374161567), ('pvfc today', 0.00899045467765864), ('conference building fairer', 0.00899045467765864), ('session conference', 0.00899045467765864)]"
68,67,154,67_please please_please please please_please_please cause please,"[('please please', 0.50528594979063), ('please please please', 0.497730174030651), ('please', 0.09580118858277789), ('please cause please', 0.013282581526513574), ('pleaseee please', 0.013282581526513574), ('please please thing', 0.013282581526513574), ('please thing please', 0.013282581526513574), ('please please put', 0.013282581526513574), ('pleaseee', 0.013282581526513574), ('please naaaaaaaaaaaaaaa please', 0.013282581526513574)]"
69,68,152,68_hope_hope feeling_help hope_care hope,"[('hope', 0.02592708589222515), ('hope feeling', 0.020351218366782227), ('help hope', 0.01888445197611489), ('care hope', 0.017531962145641112), ('hope help hope', 0.01721867798658507), ('hope help', 0.01630731467270992), ('hope feel', 0.015617263526185764), ('hope hope', 0.01502225608635379), ('hope feeling hope', 0.013774942389268057), ('work hope', 0.01306781172381591)]"
