,Topic,Count,Name,details
39,38,360,38_pic_photo_picture_selfies,"[('pic', 0.061791168032461125), ('photo', 0.05946840341756692), ('picture', 0.0321463326387948), ('selfies', 0.015661130425003635), ('profile', 0.014717112693378975), ('image', 0.013129095113031366), ('photograph', 0.011858215444016709), ('fab', 0.01007097710595934), ('selfie', 0.00955665685260286), ('photographer', 0.007830565212501818)]"
40,39,342,39_cat_vet_kitten_kitty,"[('cat', 0.1250652184346909), ('vet', 0.03000374677228178), ('kitten', 0.020951835786084137), ('kitty', 0.015521603668663305), ('feline', 0.014632488797016681), ('rescue', 0.009609420710256748), ('dead', 0.009498186221535657), ('simba', 0.007470048009022186), ('tailed', 0.006336157090708282), ('adopted', 0.006209969694801476)]"
41,40,335,40_yes_yesn_baby_,"[('yes', 0.22799921504496332), ('yesn', 0.02101587609199535), ('baby', 0.0025708895445451197), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
42,41,331,41_homeless_housing_homelessness_shelter,"[('homeless', 0.04686660290695228), ('housing', 0.045194452667443374), ('homelessness', 0.03565571055852798), ('shelter', 0.029594155386374214), ('toronto', 0.02758834937502376), ('encampment', 0.020782170231135075), ('city', 0.017990806789254476), ('eviction', 0.017263222341025366), ('sherbourne', 0.01395316469923168), ('mayor', 0.010721539392783322)]"
43,42,327,42_rnaos_rnao_ceo_ontarios,"[('rnaos', 0.04448079249172895), ('rnao', 0.04328855584945474), ('ceo', 0.0364345389288555), ('ontarios', 0.017788256353059403), ('president', 0.017616955590092076), ('host', 0.015337539003582501), ('chapter', 0.013211311311808456), ('ontario', 0.012160216652415108), ('immediatepast', 0.01154994743545955), ('discus', 0.01132701186758536)]"
44,43,322,43_signing_delighted_fan_derby,"[('signing', 0.18323143817075838), ('delighted', 0.12345507090859402), ('fan', 0.11868281058990376), ('derby', 0.06249357163333843), ('celtic', 0.03499214398662316), ('tottenham', 0.03285998369048209), ('newcastle', 0.022428131236362215), ('blackburn', 0.02209244715578035), ('chelsea', 0.01983997056233556), ('ha', 0.018419612795603113)]"
45,44,322,44_weekend_sunday_monday_friday,"[('weekend', 0.07787168186382243), ('sunday', 0.04051340657473745), ('monday', 0.03833456310504059), ('friday', 0.024806921135013486), ('saturday', 0.023418579224832772), ('tuesday', 0.016175584250511493), ('wednesday', 0.016143343094079842), ('thursday', 0.011722419231082483), ('night', 0.00815589599951359), ('taco', 0.006690648299092742)]"
46,45,318,45_dementia_alzheimers_delirium_admiral,"[('dementia', 0.09831146310322841), ('alzheimers', 0.03855113106454908), ('delirium', 0.02742270081385349), ('admiral', 0.016563371653830646), ('disease', 0.013187814660118351), ('jakki', 0.009609760637340216), ('utis', 0.009609760637340216), ('pad', 0.008281685826915323), ('living', 0.007680454230656685), ('american', 0.007371055994377495)]"
47,46,318,46_hug_sending_big_virtual,"[('hug', 0.16749620829225592), ('sending', 0.052239692942454334), ('big', 0.016962771519791125), ('virtual', 0.013930389701009122), ('vibe', 0.009803915369098437), ('gentle', 0.009012028279474784), ('xxx', 0.008375879048565705), ('hugged', 0.008279205485666661), ('xx', 0.008211967531970612), ('sorry', 0.007776517430722752)]"
48,47,307,47_praying_prayer_pray_billy,"[('praying', 0.1565082140625791), ('prayer', 0.12192045470585243), ('pray', 0.046314753223073706), ('billy', 0.03000489197316243), ('landon', 0.02254574246699293), ('hero', 0.020604768445174223), ('sweet', 0.012562553877645134), ('blue', 0.009924373822263952), ('speedy', 0.009459674568806947), ('sorry', 0.008803101125866956)]"
