,Topic,Count,Name,details
46,45,140,45_airport_san_diego_sfo,"[('airport', 0.11784144359969627), ('san', 0.08798198719975284), ('diego', 0.08715141633831615), ('sfo', 0.08027363265596676), ('hilton', 0.0703961823807514), ('miami', 0.06814814265950545), ('nashville', 0.06667728928030697), ('bayfront', 0.06092762568952033), ('francisco', 0.05788300829460928), ('international', 0.053771681320682496)]"
47,46,134,46_dress_shirt_uniform_suit,"[('dress', 0.06047200470863881), ('shirt', 0.059504641139089674), ('uniform', 0.03880737465592805), ('suit', 0.03295502203948587), ('scrub', 0.0315338470402219), ('clothes', 0.02770292664282202), ('wear', 0.02365175991792902), ('outfit', 0.022979818727798494), ('jacket', 0.01901600228677179), ('pocket', 0.01846767373900747)]"
48,47,134,47_fibre_broadband_openreach_full,"[('fibre', 0.1509369751628217), ('broadband', 0.1475948023584509), ('openreach', 0.06531921960034778), ('full', 0.05079007614322706), ('internet', 0.04444232441247683), ('infrastructure', 0.043548487545038525), ('billion', 0.03438038490397778), ('universal', 0.033986571898923956), ('house', 0.03363404189688171), ('available', 0.03252270470993081)]"
49,48,133,48_hiv_sexual_stigma_living,"[('hiv', 0.148632504510789), ('sexual', 0.02261497841552701), ('stigma', 0.02228925030700169), ('living', 0.019578373254694196), ('prevention', 0.015614626814399298), ('asian', 0.013649953692524237), ('amp', 0.013334635727187284), ('hivaids', 0.012366514472140766), ('testing', 0.011277564756662169), ('woman', 0.010820783985520364)]"
50,49,130,49_ehrc_investigation_wait_released,"[('ehrc', 0.26421472094676557), ('investigation', 0.23656284956046628), ('wait', 0.06451044906417051), ('released', 0.06323549638479577), ('taken', 0.05543390237674906), ('report', 0.04783948495905159), ('yet', 0.043609544203044144), ('vindicated', 0.04358832590817507), ('place', 0.03894661162245481), ('nobody', 0.035097129377936034)]"
51,50,129,50_exam_selftest_quiz_package,"[('exam', 0.0909890888869436), ('selftest', 0.03175047941814708), ('quiz', 0.019834696239795606), ('package', 0.01868161791082674), ('subscription', 0.018327948821937088), ('akt', 0.016036955219194952), ('examination', 0.01542698596428547), ('curriculum', 0.012448568833563357), ('revision', 0.011493096489305523), ('course', 0.010845780851551107)]"
52,51,123,51_hair_haircut_beard_hairdresser,"[('hair', 0.12595239188102425), ('haircut', 0.04558105024508975), ('beard', 0.039684933218397486), ('hairdresser', 0.03135656313394299), ('shaving', 0.021410302490162667), ('shave', 0.020112328304304535), ('salon', 0.01914441329943422), ('eyelash', 0.017817684311752412), ('cozza', 0.014030433073950702), ('josephcozzasalon', 0.013363263233814308)]"
53,52,122,52_awful_horrendous_disgusting_vile,"[('awful', 0.21667721522297034), ('horrendous', 0.09067338235616858), ('disgusting', 0.08249890152970464), ('vile', 0.07862227533529004), ('terrible', 0.06256910648014583), ('travesty', 0.06057735158141823), ('utterly', 0.05001448964732018), ('horrific', 0.04602694317094214), ('disgraceful', 0.04314436786088722), ('absolute', 0.04086186507700458)]"
54,53,122,53_memory_remember_flashback_unlocked,"[('memory', 0.11024724748338582), ('remember', 0.05750060586211515), ('flashback', 0.04356594243797945), ('unlocked', 0.02800435002515573), ('ram', 0.025040601425875934), ('recall', 0.024906563838334637), ('forgotten', 0.0226380176822882), ('generation', 0.021187946569973734), ('millennial', 0.0210032625188668), ('forget', 0.01806011980664389)]"
55,54,120,54_look_fabulous_beautiful_looking,"[('look', 0.12593103530466165), ('fabulous', 0.06295940058729718), ('beautiful', 0.03783187415333761), ('looking', 0.031248044360707862), ('jean', 0.028855100727473718), ('splendid', 0.027511759186907705), ('good', 0.022369530117121124), ('brilliant', 0.022194150871794223), ('enhancing', 0.02217513120731013), ('rocking', 0.019550046916681125)]"
56,55,120,55_joke_chuckle_laugh_laughing,"[('joke', 0.11220239410986928), ('chuckle', 0.10278167830763729), ('laugh', 0.08022511704481089), ('laughing', 0.0785892546290153), ('funny', 0.0538903410045825), ('laughter', 0.037009199095075516), ('laughed', 0.03626583957759452), ('hilarious', 0.029286555690679627), ('boom', 0.02208312353764841), ('barnard', 0.019188529507411033)]"
57,56,116,56_bz_wtaf_ew_gws,"[('bz', 0.17771604359197546), ('wtaf', 0.13373661604408688), ('ew', 0.1101512216899961), ('gws', 0.1101512216899961), ('qwhite', 0.0663685737086227), ('zo', 0.0663685737086227), ('eeves', 0.0663685737086227), ('zhonya', 0.0663685737086227), ('mwynhewch', 0.0663685737086227), ('hefyd', 0.0663685737086227)]"
58,57,116,57_cricket_wicket_bowling_bowler,"[('cricket', 0.1316357344995836), ('wicket', 0.05450080390792796), ('bowling', 0.040158437022177536), ('bowler', 0.0345998376733283), ('bat', 0.03189377994501475), ('test', 0.031038089269144507), ('ball', 0.030129628670509404), ('inning', 0.024604602459115853), ('batting', 0.02166396695849477), ('sachin', 0.020503835382596543)]"
59,58,115,58_sleep_sleeping_nap_bedtime,"[('sleep', 0.11723078620467105), ('sleeping', 0.05019908153838687), ('nap', 0.04042317806693646), ('bedtime', 0.02919872457371496), ('melatonin', 0.02212205270660309), ('asleep', 0.021333950535362273), ('insomnia', 0.02126605598637909), ('awake', 0.020467978078960333), ('woken', 0.019976826573669185), ('wake', 0.018482752059443983)]"
60,59,114,59_count_nut_one_none,"[('count', 0.15044313474677895), ('nut', 0.07684192336005888), ('one', 0.06391501626223857), ('none', 0.044650209707220306), ('moron', 0.03511242786108131), ('doe', 0.029279231445104848), ('still', 0.0290476283234606), ('circulate', 0.026407772259724363), ('pleaaase', 0.026407772259724363), ('selffocused', 0.026407772259724363)]"
61,60,112,60_autistic_adhd_autism_spectrum,"[('autistic', 0.08271158270590337), ('adhd', 0.07245523460352181), ('autism', 0.06485323861641959), ('spectrum', 0.03605888026941012), ('disorder', 0.03362829515645467), ('ocd', 0.02139364864647116), ('autistics', 0.01685646140501539), ('interrupt', 0.014953595133898125), ('impulsive', 0.014953595133898125), ('hypermobility', 0.013862897953266414)]"
62,61,110,61_thanks_ty_link_almost,"[('thanks', 0.5703011599766983), ('ty', 0.03943716360778778), ('link', 0.016165517874801687), ('almost', 0.015181449456266876), ('many', 0.009582407407143882), ('well', 0.0043117286978411), ('like', 0.003385058577283232), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
63,62,110,62_anaesthetic_anaesthesia_anaesthetist_ensuring,"[('anaesthetic', 0.15679050079748033), ('anaesthesia', 0.05258284653834569), ('anaesthetist', 0.043047385323096744), ('ensuring', 0.019958052810823725), ('monitoring', 0.018614441604433096), ('ga', 0.016967059459624456), ('anesthesia', 0.016205735935883682), ('monitor', 0.013716461727385656), ('intubation', 0.013305078724386079), ('inject', 0.01215430195191276)]"
64,63,109,63_hug_sending_virtual_big,"[('hug', 0.2752437958034232), ('sending', 0.08086811209471793), ('virtual', 0.05019400061051458), ('big', 0.04727817196481438), ('hugging', 0.01991775736464652), ('sorry', 0.01842085825332677), ('ghastly', 0.017432788500960365), ('monika', 0.015475364542635582), ('kind', 0.01478966997940699), ('hear', 0.014682148470873117)]"
65,64,109,64_allah_da_ka_ba,"[('allah', 0.10164695371002262), ('da', 0.07367742621470184), ('ka', 0.06935857451799587), ('ba', 0.06259267065804319), ('ya', 0.059505182178105805), ('ne', 0.054542008685584294), ('yi', 0.0477705000175691), ('sikora', 0.047724257599886265), ('kawai', 0.046399231319021496), ('fa', 0.043231237057523166)]"
66,65,108,65_tree_garden_bird_squirrel,"[('tree', 0.07776589499851183), ('garden', 0.05724346921478085), ('bird', 0.05227373375932426), ('squirrel', 0.04937545572379415), ('duck', 0.032662364919533), ('walnut', 0.029778539717644117), ('oak', 0.02845876070846748), ('blackbird', 0.021009883694845168), ('plant', 0.019231972788711253), ('billed', 0.018059446549374875)]"
67,66,106,66_govt_private_hospital_healthcare,"[('govt', 0.041708849816184286), ('private', 0.03769087008310929), ('hospital', 0.029422198087764605), ('healthcare', 0.02657410955339183), ('gh', 0.019901539948803726), ('cost', 0.018857788936585948), ('sir', 0.01709244232438186), ('quality', 0.015653856340002728), ('tn', 0.015274834361393236), ('money', 0.013605712468392726)]"
68,67,104,67_oma_president_dr_odette,"[('oma', 0.1565998866843644), ('president', 0.13776465270677093), ('dr', 0.07056312272795846), ('odette', 0.05100756086946813), ('allan', 0.04918727526741931), ('message', 0.04248701171572355), ('ceo', 0.0367711104451805), ('omas', 0.02332216699883906), ('spoke', 0.02251400760996388), ('opioid', 0.02110106539900084)]"
69,68,103,68_peace_mallon_seamus_mowlam,"[('peace', 0.10620583325848636), ('mallon', 0.08603368198264431), ('seamus', 0.08221582598812853), ('mowlam', 0.0748159009874034), ('played', 0.06741427675631494), ('process', 0.0672641262654945), ('mo', 0.06297077739183916), ('productive', 0.04964350275035858), ('ceremony', 0.04782029649632354), ('wreath', 0.04636487045553311)]"
70,69,102,69_beach_hawaii_maui_sand,"[('beach', 0.20178805141782843), ('hawaii', 0.06827262269479721), ('maui', 0.06059886342501959), ('sand', 0.04897288701256142), ('stinson', 0.045531257829245546), ('kihei', 0.04120477282045176), ('boat', 0.0384063301184578), ('kamaole', 0.037942714857704625), ('sea', 0.03669250206705655), ('makena', 0.03264888176443269)]"
71,70,100,70_love_loved_hap_abl,"[('love', 0.4458423959599935), ('loved', 0.07571940714348556), ('hap', 0.04817634128463228), ('abl', 0.04817634128463228), ('bap', 0.04817634128463228), ('tooting', 0.04817634128463228), ('loooove', 0.04076409609323515), ('clove', 0.03732336515177005), ('xox', 0.03732336515177005), ('shredder', 0.030910209314212046)]"
72,71,99,71_hearing_deaf_deafness_toolkit,"[('hearing', 0.12402391100562965), ('deaf', 0.0694157874242837), ('deafness', 0.04697016333211966), ('toolkit', 0.026466415519931306), ('loss', 0.02637355591290026), ('aid', 0.019570872306572656), ('tone', 0.016695928988865107), ('update', 0.011992022014450387), ('musically', 0.010828850546234486), ('gtgt', 0.010148168581663248)]"
73,72,98,72_pleasure_glad_helpful_enjoyed,"[('pleasure', 0.1515526405494269), ('glad', 0.10171540512625452), ('helpful', 0.08171499846832145), ('enjoyed', 0.07341150891527819), ('enjoying', 0.0512307390209076), ('thanks', 0.040228524834567084), ('helped', 0.034118877440446435), ('guilty', 0.03022917200115113), ('satisfying', 0.029142627120163155), ('delightful', 0.027320909286720325)]"
