,0,1,2,3,4,5,6,7,8,9
153,morning mile,morning mark,email people post charity christmas card link profit unit,0,shhh cover,0,0,0,0,0
154,morning mile bloody face,morning mark,charity christmas card profit unit order,0,cover,0,0,0,0,0
155,morning mile,morning mark,reason charity christmas card,0,cover,0,0,0,0,0
156,mello,morning richard year service chapter adventure,kielder friday walk midge target future,0,service start service user discharge inpatient rehabilitation service rehabilitation team,0,0,0,0,0
157,kpatakpata,morning richard thank post,graffiti lunchtime walk,0,rehab facility london road,0,0,0,0,0
158,klopp,morning darren,ground view lunchtime walk,0,rehabilitation service oxfordshire,0,0,0,0,0
159,florence birthday lady lamp reformer heroine hero mistake,mike,hanging basket panel thingy,0,bloody work tomorrow,0,0,0,0,0
160,book ticket exhibition pioneer founder florence nightingale lakeside nottingham info,didnt mike woman business,shopping basket bill,0,tonight work,0,0,0,0,0
161,year florence nightingale today nurse florence nursing therapy collection medium,upset mike,basket book,0,work tomorrow,0,0,0,0,0
162,marcelle,sunrise home work,today summit rain money nurse adversity donate,0,yeah soundtrack football,0,0,0,0,0
163,marcelle,sunrise,friend connection name side magnificent lifeboat donation,0,soundtrack,0,0,0,0,0
164,choice marcelle,sunrise minus,hospital donation leader douglas workingclass resident side chicago emma reynolds class nurse,0,soundtrack,0,0,0,0,0
165,glad week,hope birthday tomorrow,today awareness epilepsy type epilepsy feature symptom condition knowledge,0,nurse midwife side medley response ratio question,0,0,0,0,0
166,thank week,awww birthday hope,wave everyone daughter hemiplegia left epilepsy sarah,0,ratio patient nurse hospital attack standard,0,0,0,0,0
167,thank week,birthday wish,daughter health need disability centre people epilepsy need heartbroken visit home school nurse,0,level understaffing transfer unit government onetoone rntopatient ratio rntopatient ratio transfer unit,0,0,0,0,0
168,ddipc parkrun,contract nurse post afternoon,thank support staff delivery fruit staff meal voucher pressure something fund thanks treat sister,0,support yesterday,0,0,0,0,0
169,thank parkrun shopping,occasion forgot lunch school sister bridget sure lunch nurse night,gesture staff food load goody thank,0,need support share,0,0,0,0,0
170,something bright parkrun back,reason nursing sense duty night anything,fund fruit larder basic voucher ingredient treat hardworking staff justgiving link,0,tonight rnlds support people,0,0,0,0,0
171,reimburse mileage rate union urge,nothing holiday coast cobweb,thanks gratitude unit,0,super smash bros,0,0,0,0,0
172,amount mile year,shore line,thank unit rhodri,0,smash,0,0,0,0,0
173,mileage,coast norway,thanks unit,0,luck smash,0,0,0,0,0
174,placement year placement hastings,thank weekend,trustee meeting benefit charity,0,demand step country government rise funding government staff whole fair,0,0,0,0,0
175,year placement,thanks home weekend chomping,emeritus professor nursing university london michael cooper trustee charity,0,process rise hence campaigning plan strike rise announcement anyone knew,0,0,0,0,0
176,year year relocating,thank weekend,flower today director doris retirement present staff trustee board,0,step problem action government,0,0,0,0,0
177,update,frankie david danny richard,present unit today,0,hello alice,0,0,0,0,0
178,update,view richard,love unit,0,alice level,0,0,0,0,0
179,edit,christmas richard,absolute unit,0,book review alice wonderland puzzle,0,0,0,0,0
180,sense self awareness,colin thackeray,decoration goody,0,0,0,0,0,0,0
181,awareness support,colin ferrell penguin shook,christmas doubt decoration,0,0,0,0,0,0,0
182,thank awareness video thought,colin stay friend,card drop gawking everyone decoration look,0,0,0,0,0,0,0
183,thank norse bell read,service practice worker others morning meter week tuesday,supermarket sale tesco half october dividend shareholder covid business rate tesco,0,0,0,0,0,0,0
184,ronnie bell,article medicine healthcare morning star,offer anyone tesco stall people doughnut people doughnut price,0,0,0,0,0,0,0
185,bell,morning start health care treatment summit care,people amazon tesco folk,0,0,0,0,0,0,0
186,glad pitch aampe supply codeine occasion,dictator consequence racist fandom,book alternative britain,0,0,0,0,0,0,0
187,pitch look,track name dictator exception,thatcher,0,0,0,0,0,0,0
188,challenge trex pitch,dictatorship start,lady today cmon george george george nuisance nuisance manager,0,0,0,0,0,0,0
189,respect zonesamp,freddie,christmas person person abeg,0,0,0,0,0,0,0
190,others zone hamilton peel toronto zone zone,freddie cake,request christmas duty time year night christmas family,0,0,0,0,0,0,0
191,zone,bellamy,news year vicar dibley christmas special,0,0,0,0,0,0,0
192,prereg nursing student week survey community placement love,morning carol mind,toyota kick,0,0,0,0,0,0,0
