Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,nouns
148,148,1.561322228712878e+18,2022-08-21 12:00:01+00:00,['1561322228712878081'],Picked it. #Vera,picked,
149,149,1.5613075109752627e+18,2022-08-21 11:01:32+00:00,['1561307510975262720'],I've got two suspects and there's clearly more than one lot of hanky panky going on here. #Vera,i've got two suspect there's clearly one lot hanky panky going,i lot hanky panky 
150,150,1.561306089559171e+18,2022-08-21 10:55:54+00:00,['1561306089559171073'],Surely they can't have given away the killer this early. #Vera,surely can't given away killer early,
151,151,1.5611839929339249e+18,2022-08-21 02:50:43+00:00,['1561183992933924869'],@Takin_Thepis_s This might help. https://t.co/gmA9jEuehA,might help,
159,159,1.5609255505075692e+18,2022-08-20 09:43:46+00:00,['1560925550507569152'],"@AmyThunig @kaceyateerman Much love, Amy.",much love amy,love amy 
160,160,1.560924779825095e+18,2022-08-20 09:40:42+00:00,['1560924779825094656'],@AlboMP @SkyNewsAust He would have asked more intelligent questions.,would asked intelligent question,question 
163,163,1.5608050756224369e+18,2022-08-20 01:45:03+00:00,['1560805075622436864'],"Happy with that. Wordle 427 2/6

⬛🟩🟨⬛🟨
🟩🟩🟩🟩🟩",happy wordle,wordle 
167,167,1.5606405392128123e+18,2022-08-19 14:51:14+00:00,['1560640539212812289'],"@Sjp65Poxon @CraigTribe2 @BBCNews And by working. I mean, it’s not that hard. You’re either being deliberately obtuse or argumentative for the sake of it.",working mean hard youre either deliberately obtuse argumentative sake,youre sake 
172,172,1.560567057837867e+18,2022-08-19 09:59:15+00:00,['1560567057837867009'],@Sjp65Poxon @CraigTribe2 @BBCNews And if every time she ‘moves on’ she meets the same issue? Who will pay her bills?,every time move meet issue pay bill,time pay bill 
174,174,1.5604476830512947e+18,2022-08-19 02:04:54+00:00,['1560447683051294720'],@RichardHanania What now?,,nan 
176,176,1.5604350344267284e+18,2022-08-19 01:14:38+00:00,['1560435034426728450'],@WhoTrial Probably Worf if we go with TNG 1-7 and then DS9 from 4-7. ‘New’ Spock has some way to go to catch up.,probably worf tng new spock way catch,spock way catch 
179,179,1.560377419156304e+18,2022-08-18 21:25:41+00:00,['1560377419156303874'],"@Theo_TJ_Jordan Nah, we’re ok. Save your heartbreak for yourself when you manage to see your actions from another perspective, and realise that you’re not the aggrieved party here.",nah save heartbreak manage see action another perspective realise youre aggrieved party,manage action perspective realise youre party 
183,183,1.5602540243852042e+18,2022-08-18 13:15:22+00:00,['1560254024385204224'],"@MannieQuinn1 It’s more that you made yourself look stupid, judgemental and myopic, but you do you.",made look stupid judgemental myopic,look judgemental myopic 
184,184,1.5602230290696806e+18,2022-08-18 11:12:12+00:00,['1560223029069680640'],@KirstyWebeck The replies. I need a bucket.,reply need bucket,
186,186,1.5601265129923994e+18,2022-08-18 04:48:41+00:00,['1560126512992399365'],"@drstip Unless they're physically moving from one place to another. It's just been done to death, for want of a better phrase.",unless they're physically moving one place another done death want better phrase,place death phrase 
187,187,1.5601254752503112e+18,2022-08-18 04:44:33+00:00,['1560125475250311173'],Potentially controversial nursing view - the term 'patient journey' is overused and meaningless. #nursing,potentially controversial nursing view term 'patient journey' overused meaningless,nursing view term journey meaningless 
188,188,1.560097777094275e+18,2022-08-18 02:54:29+00:00,['1560097777094275072'],Watching Michaelia Cash on the TV with the sound down and it's quite extraordinary. #Auspol,watching michaelia cash sound quite extraordinary,cash sound 
192,192,1.5598879861958246e+18,2022-08-17 13:00:51+00:00,['1559887986195824641'],@CrossBiddy And he’s an anti vaxxer. Cute!,anti vaxxer cute,cute 
194,194,1.5598856990922138e+18,2022-08-17 12:51:46+00:00,['1559885699092213760'],@lorrainemking I don’t have the words. This is beyond heinous.,dont word beyond heinous,dont word 
195,195,1.5598811097183314e+18,2022-08-17 12:33:32+00:00,['1559881109718331394'],@LoveNotGreed @Asher_Wolf @DrKate_Miller I was just coming along to suggest cargo pants. Or a 1980s style bum bag?,coming along suggest cargo pant style bum bag,cargo style bum bag 
197,197,1.5598561616793764e+18,2022-08-17 10:54:24+00:00,['1559856161679376384'],@niacerise I hope I’m never on a plane with you.,hope never plane,hope plane 
198,198,1.5598504915084452e+18,2022-08-17 10:31:52+00:00,['1559850491508445187'],This should be a corker. #MadAsHell,corker,corker 
201,201,1.559740277874602e+18,2022-08-17 03:13:55+00:00,['1559740277874601984'],They're going to cut back to the news studios after this and there will be popcorn and little shot glasses everywhere. #Auspol #Morrison,they're going cut back news studio popcorn little shot glass everywhere,news studio glass 
203,203,1.559735138581328e+18,2022-08-17 02:53:30+00:00,['1559735138581327872'],And there's the smirk.  #Auspol #Morrison,there's smirk,smirk 
204,204,1.5597341370405435e+18,2022-08-17 02:49:31+00:00,['1559734137040543744'],“That’s how governments work.” Like he’d know. #Auspol #Morrison,thats government work like hed know,government work 
206,206,1.5597329988826194e+18,2022-08-17 02:45:00+00:00,['1559732998882619392'],Deluded. Stone cold 100% deluded. #Morrison #Auspol,deluded stone cold deluded,stone cold 
207,207,1.559731597632766e+18,2022-08-17 02:39:25+00:00,['1559731597632765952'],@sontology Thanks.,thanks,
