id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.511065051326726e+18,2022-04-04 19:35:57+00:00,['1511065051326726158'],"@MercyMuroki Oh Mercy, so sorry to hear your devastating news. Sending luv and hugs xx",,mercy sorry hear devastating news sending luv hug,True,mercy sorry news luv hug 
1.5110461987733627e+18,2022-04-04 18:21:02+00:00,['1511046198773362694'],"@GBNEWS listening to Kira Runik..wow,how powerful. For her to say Ukraine wouldn’t block the Russian oil passing through Ukraine “becaus it’s the Europeans oil”, and if did that, they would just be as bad as Russia. Showing compassion despite the horror they have seen",,listening kira runikwowhow powerful say ukraine wouldnt block russian oil passing ukraine becaus european oil would bad russia showing compassion despite horror seen,True,kira runikwowhow wouldnt block oil oil compassion horror 
1.5089096565335736e+18,2022-03-29 20:51:10+00:00,['1508909656533573633'],Gregory Porter .. just wow! #ConcertForUkraine,,gregory porter wow,True,gregory porter wow 
1.5082387264927908e+18,2022-03-28 00:25:08+00:00,['1508238726492790793'],@bbclysedoucet Wow… just wow!!,,wow wow,True,wow wow 
1.5082308482098954e+18,2022-03-27 23:53:50+00:00,['1508230848209895425'],@MichelleDewbs Doing nothing is never time wasted x,,nothing never time wasted,True,nothing time 
1.50585349292519e+18,2022-03-21 10:27:04+00:00,['1505853492925190145'],"@amateuradam @ambikamod I read your book a while back,and, whilst I found it hard hitting then, the impact of seeing the chaos of the NHS on the screen, really rammed home how unhealthy it is to work in the NHS. And how unhealthy it is to be a patient trying to recover in such chaotic surtoundings.",,read book backand whilst found hard hitting impact seeing chaos screen really rammed home unhealthy work unhealthy patient trying recover chaotic surtoundings,True,book backand whilst impact chaos screen home work patient 
1.505829243963515e+18,2022-03-21 08:50:43+00:00,['1505829243963514890'],@krishgm @ZelenskyyUa Wow.. just wow,,wow wow,True,wow wow 
1.5050928355902546e+18,2022-03-19 08:04:29+00:00,['1505092835590254594'],".. your not giving your money to Lenny Henry, or David Lammy. Your giving it to the kids. And kids growing up anywhere in this s*itty world today need all the help they can get.. dig deep kind people.. the kids need it..",,giving money lenny henry david lammy giving kid kid growing anywhere sitty world today need help get dig deep kind people kid need,True,money lenny henry david lammy kid kid world today help kind need 
1.5041167682724332e+18,2022-03-16 15:25:57+00:00,['1504116768272433152'],If you have IBS we would like to hear from you. 👇🏻 https://t.co/xth7K5k7hp,,ibs would like hear,True,hear 
1.503890856931115e+18,2022-03-16 00:28:15+00:00,['1503890856931115009'],"@GBNEWS God bless you, Queenie .. I hope you’re resting comfortably now xx",,god bless queenie hope youre resting comfortably,True,god bless hope youre 
1.503483606349529e+18,2022-03-14 21:29:59+00:00,['1503483606349529106'],@BootstrapCook Egg with a little marmite spread,,egg little marmite spread,True,egg spread 
1.503142488982315e+18,2022-03-13 22:54:31+00:00,['1503142488982315013'],@WalesOnline Shirley was the best act of the night x,,shirley best act night,True,shirley act night 
