Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
1298,1.2914214072351826e+18,2020-08-06 17:10:31+00:00,['1291421407235182597'],Nice and easy to go through and report the lot of them but my GOD why do you have to. This isn't acceptable. No racism should be acceptable. https://t.co/8alNeXxqAD,,nice and easy to go through and report the lot of them but my god why do you have to this isnt acceptable no racism should be acceptable ,True,False
1299,1.2914210294164357e+18,2020-08-06 17:09:01+00:00,['1291421029416435713'],@sinker_john @EwanMacKenna @lllarry23 @rtenews @josephamadigan Bit racist there.. There's been no mention of ethnicity,,     bit racist there theres been no mention of ethnicity,True,False
1300,1.291419999064789e+18,2020-08-06 17:04:55+00:00,['1291419999064788992'],@WinterImagines @MissBprimary @MrEFinch @Teacherglitter @ChallenDr @mini_lebowski @liloakers This is beautiful 😍 Your lucky class!,,       this is beautiful  your lucky class,True,False
1301,1.2914094040179466e+18,2020-08-06 16:22:49+00:00,['1291409404017946625'],"@DDMMR17 Fair, and really nicely explained! Thank you. Very used to getting the negative end of things, so that's on me for jumping to conclusions.",, fair and really nicely explained thank you very used to getting the negative end of things so thats on me for jumping to conclusions,True,False
1303,1.2913761941942108e+18,2020-08-06 14:10:51+00:00,['1291376194194210817'],@DDMMR17 You'd rather get racism...,, youd rather get racism,True,False
1304,1.2913430077201326e+18,2020-08-06 11:58:59+00:00,['1291343007720132611'],Probably wouldn't mean the apology anyway. Anyone who can straight faced say something like that is proud of their racism https://t.co/DQBk7tD4ae,,probably wouldnt mean the apology anyway anyone who can straight faced say something like that is proud of their racism ,True,False
1308,1.291141082022019e+18,2020-08-05 22:36:36+00:00,['1291141082022019078'],@calumishere @ohnorobot 🤷🏼‍♀️ we all gotta take a day sometimes,,   we all gotta take a day sometimes,True,False
1309,1.2907710126997832e+18,2020-08-04 22:06:05+00:00,['1290771012699783170'],@MissBprimary Deffo a sign of a teacher,, deffo a sign of a teacher,True,False
1311,1.2907371501792788e+18,2020-08-04 19:51:31+00:00,['1290737150179278850'],@JessicaCregg I knew one of you would do this ❤️,, i knew one of you would do this ,True,False
1313,1.2907027815532175e+18,2020-08-04 17:34:57+00:00,['1290702781553217539'],apparently I'm still 14 and need to Google what someone's texting tone changing means,,apparently im still 14 and need to google what someones texting tone changing means,True,False
1316,1.290620652202926e+18,2020-08-04 12:08:36+00:00,['1290620652202926080'],"@222_BunnyGreene @GRTPA_UK @pollypops1 @GypsyTravellerM @educationgovuk @EHRC @team_greenhalgh @APPGGTR @TravellersTimes @GateHerts The behaviour of the few IS condemned, you don't have to look far to find that, but they also look at the causation of behaviour and try their damnedest to educate those making sweeping racist statements.",,          the behaviour of the few is condemned you dont have to look far to find that but they also look at the causation of behaviour and try their damnedest to educate those making sweeping racist statements,True,False
1324,1.290294278518788e+18,2020-08-03 14:31:43+00:00,['1290294278518788096'],@SherrieRomany @GRTactivist @GypsyTravellerM @TravellerLGBT @TravellersTimes @GypsyTravellers @LutonRomaTrust @therroneill @chelsmcdonagh @LabourGRT @hellobrigitta @SindyLJoyce @PaveePoint @SocietyDialogue @RomaGenocideUK You really are doing incredible things!!,,               you really are doing incredible things,True,False
1331,1.2902632168289403e+18,2020-08-03 12:28:17+00:00,['1290263216828940291'],"@SherrieRomany @GRTactivist @GypsyTravellerM @TravellerLGBT @TravellersTimes @GypsyTravellers @LutonRomaTrust @therroneill @chelsmcdonagh @LabourGRT @hellobrigitta @SindyLJoyce @PaveePoint @SocietyDialogue @RomaGenocideUK That's fantastic, well done to all involved for putting these together",,               thats fantastic well done to all involved for putting these together,True,False
1335,1.2902536490173194e+18,2020-08-03 11:50:16+00:00,['1290253649017319425'],@SherrieRomany @GRTactivist @GypsyTravellerM @TravellerLGBT @TravellersTimes @GypsyTravellers @LutonRomaTrust @therroneill @chelsmcdonagh @LabourGRT @hellobrigitta @SindyLJoyce @PaveePoint @SocietyDialogue Brilliant! x,,              brilliant x,True,False
1336,1.290248357915525e+18,2020-08-03 11:29:14+00:00,['1290248357915525121'],@GRTactivist You really are!!,, you really are,True,False
1339,1.290242739968385e+18,2020-08-03 11:06:55+00:00,['1290242739968385027'],@GRTactivist @GypsyTravellerM @TravellerLGBT @TravellersTimes @GypsyTravellers @LutonRomaTrust @therroneill @SherrieRomany @chelsmcdonagh @LabourGRT @hellobrigitta @SindyLJoyce @PaveePoint @SocietyDialogue Of course! 💕✊ You have been so crucial in my own education.,,              of course  you have been so crucial in my own education,True,False
1340,1.2902425981714432e+18,2020-08-03 11:06:21+00:00,['1290242598171443200'],@therroneill Absolutely. Let's just keep on asking and keep on prompting and promoting!,, absolutely lets just keep on asking and keep on prompting and promoting,True,False
1341,1.2902361958097633e+18,2020-08-03 10:40:55+00:00,['1290236195809763328'],"there are so many more wonderful people on this platform, and others, and following them is a small easy step. There's no reason we can't educate ourselves further especially when it's a matter of life and rights. 5/5",,there are so many more wonderful people on this platform and others and following them is a small easy step theres no reason we cant educate ourselves further especially when its a matter of life and rights 55,True,False
